Country,Adjective,Area,,Africa,Asia,Canada,Europe,Greenland,United States,Mexico,Central America,Caribbean,South America,Oceania,Antarctica
Cuba, Cuban,Canadian,,Tadrat Acacus,Koryak Mountains Russia,Dawson Range,Southern Limestone Alps,Svinhufvud Range,Chic-Choc Mountains,,,,Serranías Chiquitanas,Kepler Mountains,Pippin Peaks
Cyprus, Cypriot,Mexican,,Tibesti ,Kunlun Mountains,Dickson Range,Adamello-Presanella,Tågefjeldene,Collines Monteregiennes,,,,Serra dos Aimorés,Mount Cook Range,Stribog
Czech Republic, Czech,Oceanian,,Udzungwa,Kuray Mountains,Douglas Ranges,Brenta Group,Watkins Range,Nova Scotia Highlands,,,,Borborema Plateau,Lammerlaw Range,Solvay Mountains
Denmark, Danish,,,Uluguru,Mount Lebanon Range,Douro Range,Carnic Alps,Wiedemann Range,Cape Breton Highlands,,,,Chapada,Lammermoor Range,Brugmann Mountains
Djibouti, Djiboutian,,,Usambara,Müller Mountains,Duncan Ranges,Dolomites,,Megantic Hills,,,,Chapada do Araripe,Livingstone Mountains,
Dominica, Dominican,,,,Pamir Mountains,Elk River Mountains,Julian Alps,,Sutton Mountains,,,,Espinhaço Mountains,Moehau Range,
Dominican Republic, Dominican,,,,Pontic Mountains,Everett Mountains,Kamnik Alps,,Blue Ridge Mountains,,,,Chapada dos Guimarães,Murchison Mountains,
Timor-Leste,Timor-Leste,,,,Phnom Kulen,Fannin Range,Karawanken,,Bull Run Mountains,,,,Chapada das Mangabeiras,Old Man Range / Kopuwai,
East Timor ,East Timor ,,,,Phnom Voar,Franklin Range,Ortler Alps,,Southwest Mountains,,,,Mantiqueira Mountains,Papahaua Range,
Ecuador, Ecuadorian,,,,Safed Koh,Garfield Range,Western Alps (France,,Iron Mountains,,,,Serra do Mar,Paparoa Range,
Egypt, Egyptian,,,,Salt Range,Garibaldi Ranges,Bernese Alps,,Sauratown Mountains,,,,Serra do Cristal,Pisa Range,
El Salvador, Salvadoran,,,,Sayan Mountains,Genevieve Range,Cottian Alps,,Shenandoah Mountains,,,,Serra Gaúcha,Port Hills,
Equatorial Guinea, Equatorial Guinean,,,,Sivalik Hills range of outer Himalayas,Glenyon Range,Glarus Alps,,Unaka Mountains,,,,Serra dos Órgãos,Pouakai Range,
Eritrea, Eritrean,,,,Sierra Madre,Goat Range,Graian Alps,,Bald Mountains,,,,Serra Geral,Rangitoto Range,
Estonia, Estonian,,,,Sikhote Alin Mountains,Gowlland Range,Mont Blanc Group,,Black Mountains,,,,Serra de Ibiapaba,Rock and Pillar Range,
Eswatini, Swazi,,,,Stanovoi Range,Grinnell Range,Beaufortain Massif,,Great Craggy Mountains,,,,Serra do Rio do Rastro,Spenser Mountains,
Ethiopia, Ethiopian,,,,Sudirman Range,Grogan Morgan Range,Vanoise,,Great Balsam Mountains,,,,Serra do Tiracambu,Stuart Mountains,
Fiji, Fijian,,,,Sulaiman Mountains,Haddington Range,Gran Paradiso,,Plott Balsams,,,,Serras de Sudeste,Raukūmara Range,
Finland, Finnish,,,,Ta Kream Mountain Range,Haihte Range,Lepontine Alps,,Great Smoky Mountains,,,,Chilean Coast Range,Richmond Range,
France, French,,,,Taurus Mountains,Ha-Iltzuk Icefield,Ligurian Alps,,Unicoi Mountains,,,,Sierra Vicuña Mackenna,The Remarkables,
Gabon, Gabonese,,,,Toba Kakar Range,Halifax Range,North-Eastern Swiss Alps,,Ridge-and-Valley Appalachians,,,,Cordillera de Talinay,Remutaka Range,
The Gambia, Gambian,,,,Tian Shan,Hankin Range,Pennine Alps,,Blue Mountains,,,,Cordillera de Nahuelbuta,Ruahine Range,
Georgia, Georgian,,,,Taiwan Mountains,Hartz Mountains (Nunavut),Dauphiné Alps,,Moosic Mountains,,,,Cordillera de Mahuidanchi,The Silverpeaks,
Germany, German,,,,Tengger Mountains,Hermit Range,Maritime Alps,,South Mountains,,,,Cordillera Pelada,Southern Alps,
Ghana, Ghanaian,,,,Titiwangsa Mountains,Hess Mountains,Prealps,,Tuscarora Mountains,,,,Cordillera del Sarao,Spenser Mountains,
Greece, Greek,,,,Ural Mountains,Homathko Icefield,Provence Prealps,,Arbuckle Mountains,,,,Cordillera del Piuchén,Hector Mountains,
Grenada, Grenadian,,,,Verkhoyansk Range,Ilgachuz Range,Dentelles de Montmirail,,Bears Paw Mountains,,,,Cordillera de Pirulil,Tararua Range,
Guatemala, Guatemalan,,,,Western Ghats,Inglefield Mountains,Savoy Prealps,,Beaver Lake Mountains,,,,Cordón Baquedano,Two Thumb Range,
Guinea, Guinean,,,,Zagros Mountains,Innuitian Mountains,Savoie Alps,,Big Snowy Mountains,,,,Baudó Mountains,Waitākere Ranges,
Guinea-Bissau, Guinean-Bissauan,,,,Zambales Mountains,Insular Mountains,Urner Alps,,Black Hills,,,,Serranía de Macuira,Wharepapa / Arthur Range,
Guyana, Guyanese,,,,Zamboanga Cordilleras,Itcha Range,Apennines,,Black Mountains,,,,Sierra Nevada de Santa Marta,Wick Mountains,
Haiti, Haitian,,,,Changbai Mountains,Jeffries Range,Balkan Mountains range,,Blue Mountains,,,,Serrania de la Macarena,Papua New Guinea,
Honduras, Honduran,,,,Qinghai–Tibet Plateau,Joy Range,Central Balkan Mountains,,Brooks Range,,,,Ybytyruzú Mountains,Bismarck Range,
Hungary, Hungarian,,,,Tibet,Karmutzen Range,Kaloferska Mountain,,Baird Mountains,,,,Cuchilla de Haedo,Owen Stanley Range,
Iceland, Icelandic,,,,,Kaumajet Mountains,Zlatishko-Tetevenska Mountain,,Jade Mountains,,,,Cuchilla Grande,,
India, Indian,,,,,Kettle River Range,Western Balkan Mountains,,Davidson Mountains,,,,,,
Indonesia, Indonesian,,,,,Kiglapait Mountains,Chiprovska Mountain[10],,De Long Mountains,,,,,,
Iran, Iranian,,,,,Kitimat Ranges,Berkovska Mountain,,Endicott Mountains,,,,,,
Iraq, Iraqi,,,,,Kluane Ranges,Vrachanski Balkan,,Franklin Mountains,,,,,,
Ireland, Irish,,,,,Knorr Range,Black Forest,,Phillip Smith Mountains,,,,,,
Israel, Israeli,,,,,Kokanee Range,Cantabrian Mountains,,Romanzof Mountains,,,,,,
Italy, Italian,,,,,Kootenay Ranges,Picos de Europa,,Schwatka Mountains,,,,,,
Jamaica, Jamaican,,,,,Vermilion Range,Basque Mountains,,Shubelik Mountains,,,,,,
Japan, Japanese,,,,,Stanford Range,Carpathian Mountains,,Waring Mountains,,,,,,
Jordan, Jordanian,,,,,Beaverfoot Range,Western Carpathians,,Bull Mountains,,,,,,
Kazakhstan, Kazakh,,,,,Krag Mountains,Tatra Mountains,,Capitan Mountains,,,,,,
Kenya, Kenyan,,,,,Krieger Mountains,Western Beskids and Central Beskids,,Cascade Range,,,,,,
Kiribati, I-Kiribati,,,,,Lardeau Range,Eastern Carpathians,,Castle Mountains,,,,,,
"Korea, North", North Korean,,,,,Level Mountain Range,Bieszczady Mountains,,Cedar Mountains,,,,,,
"Korea, South", South Korean,,,,,Lillooet Icecap,Otryt,,Chalk Buttes,,,,,,
Kosovo,Kosovo,,,,,Lillooet Ranges,Low Beskids,,Chinati Mountains,,,,,,
Kuwait, Kuwaiti,,,,,Long Range Mountains,Bukowica Range,,Chisos Mountains,,,,,,
Kyrgyzstan, Kyrgyz,,,,,MacDonald Range,Eastern Beskids,,Chugach Mountains,,,,,,
Laos, Laotian,,,,,McKay Range,Moldavian-Muntenian Carpathians,,Granite Range,,,,,,
Latvia, Latvian,,,,,Monashee Mountains,Southern Carpathians,,Robinson Mountains,,,,,,
Lebanon, Lebanese,,,,,Nadaleen Range,Făgăraș Mountains group,,Coast Mountains,,,,,,
Lesotho, Lesothoan,,,,,Nelson Range,Retezat-Godeanu Mountains group,,Columbia Mountains,,,,,,
Liberia, Liberian,,,,,Newcastle Range,Poiana Ruscă Mountains,,Monashee Mountains,,,,,,
Libya, Libyan,,,,,Niut Range,Banat Mountains,,Kettle River Range,,,,,,
Liechtenstein, Liechtensteinian,,,,,Norns Range,Apuseni Mountains,,Purcell Mountains,,,,,,
Lithuania, Lithuanian,,,,,North Shore Mountains,Bihor Mountains,,Selkirk Mountains,,,,,,
Luxembourg, Luxembourgish,,,,,Ogilvie Mountains,Caucasus Mountains,,Coso Range,,,,,,
Madagascar, Malagasy,,,,,Osborn Range,Bezengi Wall,,Cricket Mountains,,,,,,
Malawi, Malawian,,,,,Pelham Range,Ceraunian Mountains,,Davis Mountains,,,,,,
Malaysia, Malaysian,,,,,Pelly Mountains,Dinaric Alps,,Delamar Mountains,,,,,,
Maldives, Maldivian,,,,,Pierce Range,Accursed Mountains,,Delaware Mountains,,,,,,
Mali, Malian,,,,,Precipitous Mountains,Gennargentu,,Desert Range,,,,,,
Malta, Maltese,,,,,Premier Range,Harz,,Driftless Area,,,,,,
Marshall Islands, Marshallese,,,,,Prince of Wales Mountains,Ireland mountains,,Ocooch Mountains,,,,,,
Mauritania, Mauritanian,,,,,Prince of Wales Range,MacGillycuddy's Reeks,,East Desert Range,,,,,,
Mauritius, Mauritian,,,,,Princess Margaret Range,Wicklow Mountains,,East Humboldt Range,,,,,,
Mexico, Mexican,,,,,Purity Range,Mourne Mountains,,Franklin Mountains,,,,,,
"Micronesia, Federated States of", Micronesian,,,,,Queen Charlotte Mountains,Sperrin Mountains,,Gila Mountains,,,,,,
Moldova, Moldovan,,,,,Quesnel Highland,Jura Mountains,,Guadalupe Mountains,,,,,,
Monaco, Monégasque,,,,,Rainbow Range,Karelides,,Highwood Mountains,,,,,,
